load_bytes	store_bytes	fetch_bytes	uop_bytes	accum_bytes	ofm_dim	ifm_dim	kernel_dim	stride	pad
119296	2304	800	36	43264	(6, 6, 64)	(13, 13, 64)	(3, 3)	(2, 2)	(0, 0)
104448	100352	816	36	1189888	(56, 56, 32)	(56, 56, 32)	(3, 3)	(1, 1)	(1, 1)
1518400	3600	1408	36	78400	(3, 3, 400)	(7, 7, 400)	(3, 3)	(2, 2)	(0, 0)
6657600	1605632	26736	36	278528	(112, 112, 128)	(112, 112, 128)	(3, 3)	(1, 1)	(1, 1)
491520	5120	3616	36	81920	(4, 4, 320)	(8, 8, 320)	(3, 3)	(2, 2)	(0, 0)
760608	14112	1072	36	56448	(7, 7, 288)	(7, 7, 288)	(3, 3)	(1, 1)	(1, 1)
2406528	31104	2416	16	443904	(9, 9, 384)	(17, 17, 384)	(2, 2)	(2, 2)	(0, 0)
372800	117600	4304	36	1384320	(35, 35, 96)	(35, 35, 96)	(3, 3)	(1, 1)	(1, 1)
2297856	16384	784	16	200704	(4, 4, 1024)	(7, 7, 1024)	(2, 2)	(2, 2)	(0, 0)
3132416	6144	2416	16	98304	(4, 4, 384)	(8, 8, 384)	(2, 2)	(2, 2)	(0, 0)
360256	18816	4320	36	75264	(7, 7, 384)	(7, 7, 384)	(3, 3)	(1, 1)	(1, 1)
7530384	3648	5568	16	58368	(2, 2, 912)	(4, 4, 912)	(2, 2)	(2, 2)	(0, 0)
778752	56448	3280	36	225792	(14, 14, 288)	(14, 14, 288)	(3, 3)	(1, 1)	(1, 1)
476672	43904	1072	36	175616	(14, 14, 224)	(14, 14, 224)	(3, 3)	(1, 1)	(1, 1)
2129920	401408	5728	36	1605632	(28, 28, 512)	(28, 28, 512)	(3, 3)	(1, 1)	(1, 1)
116736	6272	448	36	25088	(14, 14, 32)	(14, 14, 32)	(3, 3)	(1, 1)	(1, 1)
1459600	19600	4496	36	78400	(7, 7, 400)	(7, 7, 400)	(3, 3)	(1, 1)	(1, 1)
663552	50176	1648	16	802816	(14, 14, 256)	(28, 28, 256)	(2, 2)	(2, 2)	(0, 0)
608448	5120	2016	16	81920	(4, 4, 320)	(8, 8, 320)	(2, 2)	(2, 2)	(0, 0)
281280	58800	18592	36	692160	(35, 35, 48)	(35, 35, 48)	(3, 3)	(1, 1)	(1, 1)
198720	12544	2800	16	193600	(28, 28, 16)	(55, 55, 16)	(2, 2)	(2, 2)	(0, 0)
1249280	4608	5728	36	100352	(3, 3, 512)	(7, 7, 512)	(3, 3)	(2, 2)	(0, 0)
542208	10368	880	16	147968	(9, 9, 128)	(17, 17, 128)	(2, 2)	(2, 2)	(0, 0)
6697680	248832	8816	16	1774336	(36, 36, 192)	(71, 71, 192)	(2, 2)	(2, 2)	(0, 0)
965808	14592	5584	16	178752	(4, 4, 912)	(7, 7, 912)	(2, 2)	(2, 2)	(0, 0)
7533568	50176	11376	36	802816	(7, 7, 1024)	(14, 14, 1024)	(3, 3)	(2, 2)	(0, 0)
137280	1568	464	36	25088	(7, 7, 32)	(14, 14, 32)	(3, 3)	(2, 2)	(0, 0)
4071424	401408	4816	36	1605632	(28, 28, 512)	(28, 28, 512)	(3, 3)	(1, 1)	(1, 1)
2459648	4608	1744	36	100352	(3, 3, 512)	(7, 7, 512)	(3, 3)	(2, 2)	(0, 0)
